Date,Country,Confirmed,Recovered,Deaths
2020-01-22,Vietnam,0,0,0
2020-01-23,Vietnam,2,0,0
2020-01-24,Vietnam,2,0,0
2020-01-25,Vietnam,2,0,0
2020-01-26,Vietnam,2,0,0
2020-01-27,Vietnam,2,0,0
2020-01-28,Vietnam,2,0,0
2020-01-29,Vietnam,2,0,0
2020-01-30,Vietnam,2,0,0
2020-01-31,Vietnam,2,0,0
2020-02-01,Vietnam,6,1,0
2020-02-02,Vietnam,6,1,0
2020-02-03,Vietnam,8,1,0
2020-02-04,Vietnam,8,1,0
2020-02-05,Vietnam,8,1,0
2020-02-06,Vietnam,10,1,0
2020-02-07,Vietnam,10,1,0
2020-02-08,Vietnam,13,1,0
2020-02-09,Vietnam,13,1,0
2020-02-10,Vietnam,14,1,0
2020-02-11,Vietnam,15,6,0
2020-02-12,Vietnam,15,6,0
2020-02-13,Vietnam,16,7,0
2020-02-14,Vietnam,16,7,0
2020-02-15,Vietnam,16,7,0
2020-02-16,Vietnam,16,7,0
2020-02-17,Vietnam,16,7,0
2020-02-18,Vietnam,16,7,0
2020-02-19,Vietnam,16,7,0
2020-02-20,Vietnam,16,7,0
2020-02-21,Vietnam,16,14,0
2020-02-22,Vietnam,16,14,0
2020-02-23,Vietnam,16,14,0
2020-02-24,Vietnam,16,14,0
2020-02-25,Vietnam,16,16,0
2020-02-26,Vietnam,16,16,0
2020-02-27,Vietnam,16,16,0
2020-02-28,Vietnam,16,16,0
2020-02-29,Vietnam,16,16,0
2020-03-01,Vietnam,16,16,0
2020-03-02,Vietnam,16,16,0
2020-03-03,Vietnam,16,16,0
2020-03-04,Vietnam,16,16,0
2020-03-05,Vietnam,16,16,0
2020-03-06,Vietnam,16,16,0
2020-03-07,Vietnam,18,16,0
2020-03-08,Vietnam,30,16,0
2020-03-09,Vietnam,30,16,0
2020-03-10,Vietnam,31,16,0
2020-03-11,Vietnam,38,16,0
2020-03-12,Vietnam,39,16,0
2020-03-13,Vietnam,47,16,0
2020-03-14,Vietnam,53,16,0
2020-03-15,Vietnam,56,16,0
2020-03-16,Vietnam,61,16,0
2020-03-17,Vietnam,66,16,0
2020-03-18,Vietnam,75,16,0
2020-03-19,Vietnam,85,16,0
2020-03-20,Vietnam,91,16,0
2020-03-21,Vietnam,94,17,0
2020-03-22,Vietnam,113,17,0
2020-03-23,Vietnam,123,17,0
2020-03-24,Vietnam,134,17,0
2020-03-25,Vietnam,141,17,0
2020-03-26,Vietnam,153,20,0
2020-03-27,Vietnam,163,20,0
2020-03-28,Vietnam,174,21,0
2020-03-29,Vietnam,188,25,0
2020-03-30,Vietnam,203,55,0
2020-03-31,Vietnam,212,58,0
2020-04-01,Vietnam,218,63,0
2020-04-02,Vietnam,233,75,0
2020-04-03,Vietnam,237,85,0
2020-04-04,Vietnam,240,90,0
2020-04-05,Vietnam,241,90,0
2020-04-06,Vietnam,245,95,0
2020-04-07,Vietnam,249,123,0
2020-04-08,Vietnam,251,126,0
2020-04-09,Vietnam,255,128,0
2020-04-10,Vietnam,257,144,0
2020-04-11,Vietnam,258,144,0
2020-04-12,Vietnam,262,144,0
2020-04-13,Vietnam,265,146,0
2020-04-14,Vietnam,266,169,0
2020-04-15,Vietnam,267,171,0
2020-04-16,Vietnam,268,177,0
2020-04-17,Vietnam,268,198,0
2020-04-18,Vietnam,268,201,0
2020-04-19,Vietnam,268,202,0
2020-04-20,Vietnam,268,214,0
2020-04-21,Vietnam,268,216,0
2020-04-22,Vietnam,268,223,0
2020-04-23,Vietnam,268,224,0
2020-04-24,Vietnam,270,220,0
2020-04-25,Vietnam,270,225,0
2020-04-26,Vietnam,270,225,0
2020-04-27,Vietnam,270,225,0
2020-04-28,Vietnam,270,222,0
2020-04-29,Vietnam,270,222,0
2020-04-30,Vietnam,270,219,0
2020-05-01,Vietnam,270,219,0
2020-05-02,Vietnam,270,219,0
2020-05-03,Vietnam,271,219,0
2020-05-04,Vietnam,271,219,0
2020-05-05,Vietnam,271,232,0
2020-05-06,Vietnam,271,232,0
2020-05-07,Vietnam,288,233,0
2020-05-08,Vietnam,288,241,0
2020-05-09,Vietnam,288,241,0
2020-05-10,Vietnam,288,241,0
2020-05-11,Vietnam,288,249,0
2020-05-12,Vietnam,288,252,0
2020-05-13,Vietnam,288,252,0
2020-05-14,Vietnam,312,260,0
2020-05-15,Vietnam,314,260,0
2020-05-16,Vietnam,318,260,0
2020-05-17,Vietnam,320,260,0
2020-05-18,Vietnam,324,263,0
2020-05-19,Vietnam,324,263,0
2020-05-20,Vietnam,324,263,0
2020-05-21,Vietnam,324,266,0
2020-05-22,Vietnam,324,267,0
2020-05-23,Vietnam,325,267,0
2020-05-24,Vietnam,325,267,0
2020-05-25,Vietnam,326,272,0
